Name,Country,Market Value
ICBC,China,229.805
China Construction Bank,China,200.458
Berkshire Hathaway,United States,409.908
JPMorgan Chase,United States,306.616
Wells Fargo,United States,274.385
Agricultural Bank of China,China,149.229
Bank of America,United States,231.876
Bank of China,China,141.321
Apple,United States,752.039
Toyota Motor,Japan,171.85
AT&T,United States,249.286
Citigroup,United States,164.316
ExxonMobil,United States,343.165
General Electric,United States,261.174
Samsung Electronics,South Korea,254.303
Ping An Insurance Group,China,100.811
Wal-Mart Stores,United States,221.106
Verizon Communications,United States,198.352
Microsoft,United States,507.544
Royal Dutch Shell,Netherlands,228.793
Allianz,Germany,83.721
China Mobile,Hong Kong,225.308
BNP Paribas,France,80.499
Alphabet,United States,579.499
China Petroleum & Chemical,China,105.122
Total,France,128.122
AXA Group,France,60.77
Daimler,Germany,76.099
Volkswagen Group,Germany,72.941
Mitsubishi UFJ Financial,Japan,83.858
Comcast,United States,193.528
Johnson & Johnson,United States,338.644
Banco Santander,Spain,89.409
Bank of Communications,China,62.164
Nestle,Switzerland,229.485
UnitedHealth Group,United States,160.185
Nippon Telegraph & Tel,Japan,92.23
ItaÃº Unibanco Holding,Brazil,79.208
Softbank,Japan,78.632
Gazprom,Russia,51.815
General Motors,United States,50.792
China Merchants Bank,China,66.376
IBM,United States,162.365
Royal Bank of Canada,Canada,107.205
Japan Post Holdings,Japan,55.145
Procter & Gamble,United States,228.115
Pfizer,United States,203.07
HSBC Holdings,United Kingdom,162.638
Goldman Sachs Group,United States,90.648
Siemens,Germany,109.773
BMW Group,Germany,57.732
China Life Insurance,China,98.104
ING Group,Netherlands,57.932
Intel,United States,170.35
Postal Savings Bank Of China,China,55.157
Sberbank,Russia,63.903
TD Bank Group,Canada,92.001
Cisco Systems,United States,165.059
Commonwealth Bank,Australia,109.902
Morgan Stanley,United States,78.286
Novartis,Switzerland,193.163
Banco Bradesco,Brazil,53.511
Industrial Bank,China,45.126
Ford Motor,United States,44.718
Shanghai Pudong Development,China,50.451
CVS Health,United States,79.839
Walt Disney,United States,178.017
Prudential,United Kingdom,53.669
Prudential Financial,United States,45.559
Oracle,United States,182.239
China State Construction Engineering,China,43.181
Citic Pacific,Hong Kong,41.408
Boeing,United States,108.756
Honda Motor,Japan,51.382
China Minsheng Banking,China,43.653
Westpac Banking Group,Australia,86.067
Deutsche Telekom,Germany,80.001
China Citic Bank,China,43.117
Roche Holding,Switzerland,219.267
UBS,Switzerland,59.983
Bank of Nova Scotia,Canada,70.479
Rosneft,Russia,62.376
Amazon.com,United States,427.011
PepsiCo,United States,159.406
Sumitomo Mitsui Financial,Japan,48.067
Coca-Cola,United States,182.883
United Technologies,United States,90.583
Sanofi,France,116.109
Bayer,Germany,94.382
Mizuho Financial,Japan,44.429
Zurich Insurance Group,Switzerland,40
ANZ,Australia,68.836
BASF,Germany,90.952
Walgreens Boots Alliance,United States,88.995
Nissan Motor,Japan,38.372
US Bancorp,United States,86.608
American Express,United States,70.092
Hon Hai Precision,Taiwan,54.375
Enel,Italy,47.494
Merck,United States,173.328
National Australia Bank,Australia,65.024
PetroChina,China,204.477
Unilever,Netherlands,143.891
Hyundai Motor,South Korea,34.221
BBVA-Banco Bilbao Vizcaya,Spain,49.646
Reliance Industries,India,71.165
Charter Communications,United States,101.619
SAIC Motor,China,43.491
Chubb,Switzerland,64.031
TelefÃ³nica,Spain,55.893
AIA Group,Hong Kong,77.076
SociÃ©tÃ© GÃ©nÃ©rale,France,39.893
Dow Chemical,United States,77.033
Home Depot,United States,176.728
Lloyds Banking Group,United Kingdom,55.869
Medtronic,Ireland,110.017
Kraft Heinz Company,United States,110.395
Saudi Basic Industries,Saudi Arabia,80.696
Facebook,United States,407.3
Munich Re,Germany,30.461
Intesa Sanpaolo,Italy,45.265
